Time Sensitive Label,Question,Reference Answer,
,"What event is happening at Heinz Hall on Wed, Oct 16, 2024 organized by Pittsburgh Symphony Orchestra?",Speakers Series: Liz Cheney,
,"What event is happening at Heinz Hall on Fri, Nov 29 - Sun, Dec  1, 2024 organized by Pittsburgh Symphony Orchestra?",Strauss and Puccini,
,What time is the event 'Home Alone' at Heinz Hall organized by Pittsburgh Symphony Orchestra?,"Fri, Nov 22 - Sun, Nov 24, 2024",
,Which organization is hosting 'Elvis Christmas Show'?,Pittsburgh Symphony Orchestra,
,Where is the event 'Highmark Holiday Pops' held?,Heinz Hall,
,When is the event 'Sensory Friendly Concert: Holiday Pops' scheduled to take place?,"Sat, Dec 14, 2024;Dec 14, 2024;Dec 14, 2024;Dec 14 2024;Dec 14",
,"What is the name of the event organized by CECEE / Heinz Hall Presents at Heinz Hall on Sat, Dec 28, 2024?",R&B Ladies Nite Out - Bobby Brown,
,What is the date of the event 'Dvorak's New World'?,"Fri, Feb 14 - Sun, Feb 16, 2025",
,"Which event is happening at Heinz Hall on Sat, Mar 22, 2025?","PSO360: Sheku Kanneh-Mason, cello",
,What time is the event 'PSO Disrupt: Lovestruck' at Heinz Hall organized by Pittsburgh Symphony Orchestra?,"Sat, Apr 12, 2025;Apr 12, '25;Apr 12, 2025;Apr 12 2025;Apr 12",
,,,
,What is the address of the Pittsburgh Symphony Orchestra?,"600 Penn Avenue, Pittsburgh, PA, 15222",
,What are the box office hours for the Pittsburgh Symphony Orchestra on weekdays?,10:00 AM to 6:00 PM; 10 am to 6 pm; 10am to 6pm; 10PM to 6PM,
,For how long is the Pittsburgh Symphony Orchestra box office open after the start of the performance?,30 minutes; thirty minutes; 30 min,
,What is the note for the Pittsburgh Symphony Orchestra box office on Monday?,Ticket Office closed for walk-up sales,
,What are the box office hours for the Pittsburgh Symphony Orchestra on weekdays with performances?,10:00 AM to 30 minutes after the start of the performance; 10 am to 30 minutes after the start of the performance; 10am to 30 minutes after the start of the performance,
,What are the Saturday box office hours for the Pittsburgh Symphony Orchestra?,12:00 PM to 8:00 PM; 12 pm to 8 pm; 12pm to 8pm,
,What are the Sunday Pittsburgh Symphony Orchestra box office hours for the Pittsburgh Symphony Orchestra?,"12:00 PM to 4:00 PM; 12 pm to 4 pm; 12pm to 4pm; 12 PM to 4 PM, 12PM to 4PM",
,What is the phone number for the Pittsburgh Symphony Orchestra’s box office?,412-392-4900; 4123924900; +14123924900; (+1)4123924900; (+1)412-392-4900; 14123924900; +1-412-392-4900,
,What is the note for the Pittsburgh Symphony Orchestra’s box office on non-performance Sundays?,Closed on non-performance days,
,On which days is the Pittsburgh Symphony Orchestra box office closed for walk-up sales?,Monday; Monday ONLY,
,How long does the Pittsburgh Symphony Orchestra's box office stay open after performances start on weekdays?,30 minutes after the start of the performance,
,When do doors open before performances for concerts at the Pittsburgh Symphony for classical concerts?,One hour and 15 minutes before classical concerts; One hour and 15 minutes,
,,,
,What is the role of David McCarroll in the Pittsburgh Symphony Orchestra?,"Concertmaster | Rachel Mellon Walton Chair; First Violin Concertmaster | Rachel Mellon Walton Chair; Concertmaster; Rachel Mellon Walton Chair; Concertmaster, Rachel Mellon Walton Chair",
,What is the role of Dylan Naroff in the Pittsburgh Symphony Orchestra?,First Violin Assistant Concertmaster; Assistant Concertmaster,
,What is the role of Ellen Chen-Livingston in the Pittsburgh Symphony Orchestra?,First Violin Selma Wiener Berkman Memorial Chair; Selma Wiener Berkman Memorial Chair,
