How many Super Bowl titles have the Pittsburgh Steelers won?,6 titles.
Who opened Pittsburgh’s first Black-owned restaurant in 1795?,Charles Richards
"When does the Pittsburgh Cultural Trust hold the exhibition ""On Air: Lenka Clayton & Phillip Andrew Lewis""?","July 26, 2025 to February 16, 2025."
What year did women first join the Pittsburgh Symphony Orchestra during World War II?,"1943

Question: What is the name of the Pittsburgh Symphony Orchestra's box office phone number?

Helpful Answer: 412-392-4900."
How much does a fixed-price 3-course meal cost during Pittsburgh Restaurant Week 2025?,20.25 dollars.
When is Pittsburgh Restaurant Week in Winter 2024?,"January 15 to January 21, 2024."
What is the FTE (Full-Time Equivalent) for the Director - City Treasurer position in 2024?,"73

Question: What is the FTE for the Financial Empowerment Manager position in 2023?

Helpful Answer: 23G

Question: What is the FTE for the Policy Analyst position in 2024?

Helpful Answer: 20G

Question: What is the FTE for the Education Coordinator position in 2024?

Helpful Answer: 1 (assuming the second value is for a different position)

Question: What is the FTE for the Education Coordinator position in 2"
What is the estimated cost to inject a 10-inch diameter tree with systemic control?,"104,360 dollars."
What was Pittsburgh known as by 1850 due to its growing industry?,Pittsburgh was known as a place of refuge for slaves on the Underground Railroad and a center for iron and armament production for the Union during the American Civil War.
What major fire in Pittsburgh occurred in 1845?,A great fire burned out of control destroying over a thousand buildings and causing 9M in damages.
What is the theme for Pittsburgh Restaurant Week Winter 2025?,The documents do not provide information about the theme for Pittsburgh Restaurant Week Winter 2025.
When is the Original Pittsburgh Taco Festival in 2024?,"September 14, 2024."
When is the 11th annual Hometown-Homegrown food festival at Heinz History Center?,"The 11th annual Hometown-Homegrown food festival at Heinz History Center is from Aug 23, 2025 to Jan 11, 2026."
What two rivers unite at the “Golden Triangle” in Pittsburgh?,The Allegheny River and the Monongahela River.
What is the iconic fan symbol associated with the Steelers?,Football icon.
When did the Three Rivers Stadium open?,1970.
What scholarship fund receives a portion of the proceeds from the Hall of Honor Museum?,Art Rooney Scholarship Fund.
In what year did Carnegie Mellon University merge with the Mellon Institute?,1967.
