How many Super Bowl titles have the Pittsburgh Steelers won?,The Pittsburgh Steelers have won six Super Bowl titles.
Who opened Pittsburgh’s first Black-owned restaurant in 1795?,Charles Richards opened Pittsburgh's first Black-owned restaurant and lodge in 1795.
"When does the Pittsburgh Cultural Trust hold the exhibition ""On Air: Lenka Clayton & Phillip Andrew Lewis""?","The exhibition ""On Air: Lenka Clayton & Phillip Andrew Lewis"" at the Pittsburgh Cultural Trust runs from July 26, 2024 to February 16, 2025."
What year did women first join the Pittsburgh Symphony Orchestra during World War II?,Women first joined the Pittsburgh Symphony Orchestra during World War II. The related documents mention Fritz Reiner remarking on the orchestra's femininity in 1942.
How much does a fixed-price 3-course meal cost during Pittsburgh Restaurant Week 2025?,A fixed-price 3-course meal during Pittsburgh Restaurant Week 2025 costs between $20.24 and $45.24.
When is Pittsburgh Restaurant Week in Winter 2024?,Pittsburgh Restaurant Week in Winter 2024 does not have a specified date as the information provided is for Winter 2025.
What is the FTE (Full-Time Equivalent) for the Director - City Treasurer position in 2024?,"The FTE for the Director - City Treasurer position in 2024 is 12 months and $ budgeted for this position is $40,667. Therefore, the FTE for this position is calculated as follows: FTE = Months / 12 * Budget / Rate. In this case, FTE = 12 / 12 * $40,667 / $40,667 = 1.0. However, since the FTE is already given as 12 months, the calculation is redundant. So, the"
What is the estimated cost to inject a 10-inch diameter tree with systemic control?,The related documents do not provide information on the cost to inject a 10-inch diameter tree with systemic control.
What was Pittsburgh known as by 1850 due to its growing industry?,"Pittsburgh was known as the Steel City by the late 19th century due to its dominant role in the US steel industry. However, by 1850, Pittsburgh was already known for its growing industry, particularly in iron and coal."
What major fire in Pittsburgh occurred in 1845?,The Great Fire of Pittsburgh destroyed over a thousand buildings in 1845. The city rebuilt with the aid of Irish immigrants who came to escape the Great Famine.
What is the theme for Pittsburgh Restaurant Week Winter 2025?,The theme for Pittsburgh Restaurant Week Winter 2025 is 'New Dishes for the New Year'.
When is the Original Pittsburgh Taco Festival in 2024?,"The Original Pittsburgh Taco Festival will take place on September 14, 2024."
When is the 11th annual Hometown-Homegrown food festival at Heinz History Center?,"The 11th annual Hometown-Homegrown food festival did not take place at the Heinz Architectural Center. The documents provided only mention two events at the Heinz Architectural Center, neither of which is the Hometown-Homegrown food festival."
What two rivers unite at the “Golden Triangle” in Pittsburgh?,The Allegheny River and the Monongahela River converge at the Golden Triangle in Pittsburgh.
What is the iconic fan symbol associated with the Steelers?,"The Terrible Towel, a yellow and black towel, is the iconic fan symbol associated with the Steelers. It was popularized by radio broadcaster Myron Cope and has spread in popularity, becoming a widely recognized symbol of the Steelers and the city of Pittsburgh. The towel's design is based on the Steelmark logo, which was originally designed by Pittsburgh's US Steel and is now owned by the American Iron and Steel Institute."
When did the Three Rivers Stadium open?,Three Rivers Stadium opened in 1970.
What scholarship fund receives a portion of the proceeds from the Hall of Honor Museum?,The Art Rooney Scholarship Fund receives a portion of the proceeds from the Hall of Honor Museum.
In what year did Carnegie Mellon University merge with the Mellon Institute?,Carnegie Mellon University merged with the Mellon Institute in 1967.
Who received the NEMO Award from the ToonSeum for excellence in cartoon arts?,"The ToonSeum has given its NEMO Award to notable individuals for excellence in the cartoon arts. Recipients include veteran comicbook artist Ron Frenz, editorial and comicstrip artist Dick Locher, and comics artist editorial cartoonist and artists rights advocate Jerry Robinson."
How much is the general admission to The Frick Pittsburgh for an adult?,The general admission to The Frick Pittsburgh for an adult is $18.
When is the Holiday Handbell: Ring Pittsburgh event at The Frick?,"The Holiday Handbell: Ring Pittsburgh event at The Frick is on December 7, 2024, from 2:00 PM to 3:15 PM."
