Time Sensitive Label,Question,Reference Answer,
1,"What event is happening at Heinz Hall on Wed, Oct 16, 2024 organized by Pittsburgh Symphony Orchestra?",Speakers Series: Liz Cheney,
0,"What event is happening at Heinz Hall on Fri, Nov 29 - Sun, Dec  1, 2024 organized by Pittsburgh Symphony Orchestra?",Strauss and Puccini,
1,What time is the event 'Home Alone' at Heinz Hall organized by Pittsburgh Symphony Orchestra?,"Fri, Nov 22 - Sun, Nov 24, 2024",
0,Which organization is hosting 'Elvis Christmas Show'?,Pittsburgh Symphony Orchestra,
0,Where is the event 'Highmark Holiday Pops' held?,Heinz Hall,
1,When is the event 'Sensory Friendly Concert: Holiday Pops' scheduled to take place?,"Sat, Dec 14, 2024;Dec 14, 2024;Dec 14, 2024;Dec 14 2024;Dec 14",
0,"What is the name of the event organized by CECEE / Heinz Hall Presents at Heinz Hall on Sat, Dec 28, 2024?",R&B Ladies Nite Out - Bobby Brown,
0,What is the date of the event 'Dvorak's New World'?,"Fri, Feb 14 - Sun, Feb 16, 2025",
0,"Which event is happening at Heinz Hall on Sat, Mar 22, 2025?","PSO360: Sheku Kanneh-Mason, cello",
1,What time is the event 'PSO Disrupt: Lovestruck' at Heinz Hall organized by Pittsburgh Symphony Orchestra?,"Sat, Apr 12, 2025;Apr 12, '25;Apr 12, 2025;Apr 12 2025;Apr 12",
,,,
0,What is the address of the Pittsburgh Symphony Orchestra?,"600 Penn Avenue, Pittsburgh, PA, 15222",
0,What are the box office hours for the Pittsburgh Symphony Orchestra on weekdays?,10:00 AM to 6:00 PM; 10 am to 6 pm; 10am to 6pm; 10PM to 6PM,
0,For how long is the Pittsburgh Symphony Orchestra box office open after the start of the performance?,30 minutes; thirty minutes; 30 min,
0,What is the note for the Pittsburgh Symphony Orchestra box office on Monday?,Ticket Office closed for walk-up sales,
0,What are the box office hours for the Pittsburgh Symphony Orchestra on weekdays with performances?,10:00 AM to 30 minutes after the start of the performance; 10 am to 30 minutes after the start of the performance; 10am to 30 minutes after the start of the performance,
0,What are the Saturday box office hours for the Pittsburgh Symphony Orchestra?,12:00 PM to 8:00 PM; 12 pm to 8 pm; 12pm to 8pm,
0,What are the Sunday Pittsburgh Symphony Orchestra box office hours for the Pittsburgh Symphony Orchestra?,"12:00 PM to 4:00 PM; 12 pm to 4 pm; 12pm to 4pm; 12 PM to 4 PM, 12PM to 4PM",
0,What is the phone number for the Pittsburgh Symphony Orchestra’s box office?,412-392-4900; 4123924900; +14123924900; (+1)4123924900; (+1)412-392-4900; 14123924900; +1-412-392-4900,
0,What is the note for the Pittsburgh Symphony Orchestra’s box office on non-performance Sundays?,Closed on non-performance days,
0,On which days is the Pittsburgh Symphony Orchestra box office closed for walk-up sales?,Monday; Monday ONLY,
0,How long does the Pittsburgh Symphony Orchestra's box office stay open after performances start on weekdays?,30 minutes after the start of the performance,
0,When do doors open before performances for concerts at the Pittsburgh Symphony for classical concerts?,One hour and 15 minutes before classical concerts; One hour and 15 minutes,
,,,
0,What is the role of David McCarroll in the Pittsburgh Symphony Orchestra?,"Concertmaster | Rachel Mellon Walton Chair; First Violin Concertmaster | Rachel Mellon Walton Chair; Concertmaster; Rachel Mellon Walton Chair; Concertmaster, Rachel Mellon Walton Chair",
0,What is the role of Dylan Naroff in the Pittsburgh Symphony Orchestra?,First Violin Assistant Concertmaster; Assistant Concertmaster,
0,What is the role of Ellen Chen-Livingston in the Pittsburgh Symphony Orchestra?,First Violin Selma Wiener Berkman Memorial Chair; Selma Wiener Berkman Memorial Chair,
0,Who are the First Violin 24-25 season musicians of the Pittsburgh Symphony Orchestra?,"Shannon Fitzhenry, Kate Black; Kate Black, Shannon Fitzhenry",
0,Who is the second violin william & sarah galbraith chair of the Pittsburgh Symphony Orchestra?,Laura Motchalov,
0,Who is the Viola Acting Assistant Principal of the Pittsburgh Symphony Orchestra?,Marylène Gingras-Roy,
0,What is the role of Stephanie Tretick in the Pittsburgh Symphony Orchestra?,Viola,
1,What is the role of Ian Woodworth in the Pittsburgh Symphony Orchestra?,24-25 Season Musician; English Horn 24-25 Season Musician,
0,"Who is the Clarinet Sidney Stark, Jr. Memorial Chair of the Pittsburgh Symphony Orchestra?",Ron Samuels,
0,Who is the Bassoon Acting Principal of the Pittsburgh Symphony Orchestra?,David Sogg,
0,What is the role of Samuel Nemec in the Pittsburgh Symphony Orchestra?,Oboe,
1,What is the role of Yevgeny Faniuk in the Pittsburgh Symphony Orchestra?,24-25 Season Musician; Flute 24-25 Season Musician,
0,"Who is the Bass Clarinet Principal | Mr. and Mrs. Willard J. Tillotson, Jr. Chair of the Pittsburgh Symphony Orchestra?",Jack Howell,
0,Who is the concertmaster of the Pittsburgh Symphony Orchestra?,David McCarroll; David,
0,Who is the acting principal violist of the Pittsburgh Symphony Orchestra?,Tatjana Mead Chamis; Tatjana,
0,Who is the principal bassist of the Pittsburgh Symphony Orchestra?,Nicholas Myers; Nicholas,
0,Who is the assistant librarian of the Pittsburgh Symphony Orchestra?,Sheryl Hadeka; Sheryl,
,,,
0,Who is the concertmaster | rachel mellon walton chair of the Pittsburgh Symphony Orchestra?,David McCarroll,
0,What is the role of David McCarroll in the Pittsburgh Symphony Orchestra?,"Concertmaster | Rachel Mellon Walton Chair; First Violin Concertmaster | Rachel Mellon Walton Chair; Concertmaster; Rachel Mellon Walton Chair; Concertmaster, Rachel Mellon Walton Chair",
0,Who is the associate concertmaster | beverlynn & steven elliott chair of the Pittsburgh Symphony Orchestra?,Justine Campagna,
0,What is the role of Justine Campagna in the Pittsburgh Symphony Orchestra?,"Associate Concertmaster | Beverlynn & Steven Elliott Chair; First Violin Associate Concertmaster | Beverlynn & Steven Elliott Chair; Associate Concertmaster; Beverlynn & Steven Elliott Chair; Associate Concertmaster, Beverlynn & Steven Elliott Chair",
0,Who is the assistant concertmaster of the Pittsburgh Symphony Orchestra?,Dylan Naroff,
0,What is the role of Dylan Naroff in the Pittsburgh Symphony Orchestra?,First Violin Assistant Concertmaster; Assistant Concertmaster,
0,What is the role of Kelsey Blumenthal in the Pittsburgh Symphony Orchestra?,First Violin Musician; First Violin,
0,Who is the selma wiener berkman memorial chair of the Pittsburgh Symphony Orchestra?,Ellen Chen-Livingston,
0,What is the role of Ellen Chen-Livingston in the Pittsburgh Symphony Orchestra?,First Violin Selma Wiener Berkman Memorial Chair; Selma Wiener Berkman Memorial Chair,
0,Who is the dr. & mrs. william e. rinehart chair of the Pittsburgh Symphony Orchestra?,Irene Cheng,
0,What is the role of Irene Cheng in the Pittsburgh Symphony Orchestra?,First Violin Dr. & Mrs. William E. Rinehart Chair; Dr. & Mrs. William E. Rinehart Chair,
0,Who is the lois r. brozenick memorial chair of the Pittsburgh Symphony Orchestra?,Sarah Clendenning,
0,What is the role of Sarah Clendenning in the Pittsburgh Symphony Orchestra?,First Violin Lois R. Brozenick Memorial Chair; Lois R. Brozenick Memorial Chair,
0,What is the role of Alison Peters Fujito in the Pittsburgh Symphony Orchestra?,First Violin Musician; First Violin,
0,Who is the snapp family first violin chair of the Pittsburgh Symphony Orchestra?,Marta Krechkovsky,
0,What is the role of Marta Krechkovsky in the Pittsburgh Symphony Orchestra?,Snapp Family First Violin Chair,
0,What is the role of Jennifer Orchard in the Pittsburgh Symphony Orchestra?,First Violin Musician; First Violin,
0,Who is the dr. alan & marsha bramowitz chair of the Pittsburgh Symphony Orchestra?,Susanne Park,
0,What is the role of Susanne Park in the Pittsburgh Symphony Orchestra?,First Violin Dr. Alan & Marsha Bramowitz Chair; Dr. Alan & Marsha Bramowitz Chair,
0,What is the role of Kristina Yoder in the Pittsburgh Symphony Orchestra?,First Violin Musician; First Violin,
0,What is the role of Kate Black in the Pittsburgh Symphony Orchestra?,First Violin 24-25 Season Musician; 24-25 Season Musician,
0,Who are the First Violin 24-25 season musicians of the Pittsburgh Symphony Orchestra?,"Shannon Fitzhenry, Kate Black; Kate Black, Shannon Fitzhenry; Shannon Fitzhenry; Kate Black",
0,What is the role of Shannon Fitzhenry in the Pittsburgh Symphony Orchestra?,First Violin 24-25 Season Musician; 24-25 Season Musician,
,,,
0,Who is the second violin principal | g. christian lantzsch & duquesne light company chair of the Pittsburgh Symphony Orchestra?,Jeremy Black,
0,What is the role of Jeremy Black in the Pittsburgh Symphony Orchestra?,"Principal | G. Christian Lantzsch & Duquesne Light Company Chair; second violin principal, second violin Principal, second violin G. Christian Lantzsch & Duquesne Light Company Chair",
0,Who is the second violin associate principal | the morrison family chair of the Pittsburgh Symphony Orchestra?,Louis Lev,
0,What is the role of Louis Lev in the Pittsburgh Symphony Orchestra?,Associate Principal | The Morrison Family Chair,
0,Who is the second violin assistant principal of the Pittsburgh Symphony Orchestra?,Dennis O'Boyle,
0,What is the role of Dennis O'Boyle in the Pittsburgh Symphony Orchestra?,Assistant Principal; second violin Assistant Principal,
0,Who is the second violin william & sarah galbraith chair of the Pittsburgh Symphony Orchestra?,Laura Motchalov,
0,What is the role of Laura Motchalov in the Pittsburgh Symphony Orchestra?,William & Sarah Galbraith Chair; second violin William & Sarah Galbraith Chair,
0,What is the role of Andrew Fuller in the Pittsburgh Symphony Orchestra?,second violin Musician; second violin musician; second violin,
0,Who is the second violin arlyn gilboa chair of the Pittsburgh Symphony Orchestra?,Lorien Benet Hart,
0,What is the role of Lorien Benet Hart in the Pittsburgh Symphony Orchestra?,Arlyn Gilboa Chair,
0,What is the role of Yeokyung Kim in the Pittsburgh Symphony Orchestra?,second violin Musician; second violin musician; second violin,
0,What is the role of Boxianzi Vivian Ling in the Pittsburgh Symphony Orchestra?,second violin Musician; second violin musician; second violin,
0,Who is the second violin alice victoria gelormino chair of the Pittsburgh Symphony Orchestra?,Claudia Mahave,
0,What is the role of Claudia Mahave in the Pittsburgh Symphony Orchestra?,Alice Victoria Gelormino Chair; second violin Alice Victoria Gelormino Chair,
0,What is the role of Cecee Pantikian in the Pittsburgh Symphony Orchestra?,second violin Musician; second violin musician; second violin,
0,What is the role of Regi Papa in the Pittsburgh Symphony Orchestra?,second violin Musician; second violin musician; second violin,
0,What is the role of Carolyn Semes in the Pittsburgh Symphony Orchestra?,second violin Musician; second violin musician; second violin,
0,What is the role of Yingchen Zhang in the Pittsburgh Symphony Orchestra?,second violin Musician; second violin musician; second violin,
,,,
0,Who is the Viola Acting Principal | Jon & Carol Walton Associate Principal Viola Chair of the Pittsburgh Symphony Orchestra?,Tatjana Mead Chamis,
0,What is the role of Tatjana Mead Chamis in the Pittsburgh Symphony Orchestra?,"Acting Principal | Jon & Carol Walton Associate Principal Viola Chair; Viola Acting Principal | Jon & Carol Walton Associate Principal Viola Chair; Acting Principal; Jon & Carol Walton Associate Principal Viola Chair ",
