"What event is happening at Heinz Hall on Wed, Oct 16, 2024 organized by Pittsburgh Symphony Orchestra?","There is no event by Pittsburgh Symphony Orchestra at Heinz Hall on Oct 16, 2024 as per the provided documents."
"What event is happening at Heinz Hall on Fri, Nov 29 - Sun, Dec  1, 2024 organized by Pittsburgh Symphony Orchestra?","The Pittsburgh Symphony Orchestra is having an event at Heinz Hall on Nov 8, 2024 at 7:30 PM (Friday) with prices starting from 108. There is another event on Dec 1, 2024 at 2:30 PM (Sunday) with prices starting from 131. The question asks for the event happening between Nov 29 - Dec 1, 2024, which is not listed in the provided documents. Therefore, I cannot provide an answer for this question based on the given information."
"What time is the event 'Home Alone' at Heinz Hall organized by Pittsburgh Symphony Orchestra?","The event 'Home Alone' by Pittsburgh Symphony Orchestra takes place at Heinz Hall from Fri Nov 22 to Sun Nov 24, 2024. The exact start and end times are not provided in the given information."
"Which organization is hosting 'Elvis Christmas Show'?","The Pittsburgh Symphony Orchestra is hosting 'Elvis Christmas Show'."
"Where is the event 'Highmark Holiday Pops' held?","The 'Highmark Holiday Pops' event is held at Heinz Hall."
"When is the event 'Sensory Friendly Concert: Holiday Pops' scheduled to take place?","The 'Sensory Friendly Concert: Holiday Pops' is scheduled for Saturday, December 14, 2024, at Heinz Hall, organized by the Pittsburgh Symphony Orchestra."
"What is the name of the event organized by CECEE / Heinz Hall Presents at Heinz Hall on Sat, Dec 28, 2024?","We're sorry, but there is no event listed at Heinz Hall on Sat, Dec 28, 2024, with the name CECEE or any information about prices or times provided."
"What is the date of the event 'Dvorak's New World'?","The event 'Dvorak's New World' takes place from Friday, February 14, 2025 to Sunday, February 16, 2025."
"Which event is happening at Heinz Hall on Sat, Mar 22, 2025?","There is no event happening at Heinz Hall on Sat, Mar 22, 2025, based on the provided documents."
"What time is the event 'PSO Disrupt: Lovestruck' at Heinz Hall organized by Pittsburgh Symphony Orchestra?","The event 'PSO Disrupt: Lovestruck' at Heinz Hall organized by Pittsburgh Symphony Orchestra takes place on Saturday, March 8, 2025."
"What is the address of the Pittsburgh Symphony Orchestra?","The Pittsburgh Symphony Orchestra is located at 600 Penn Avenue in Pittsburgh, PA, with a zip code of 15222."
"What are the box office hours for the Pittsburgh Symphony Orchestra on weekdays?","The Pittsburgh Symphony Orchestra box office is open for walkup sales on weekdays from 1000 AM to 30 minutes after the start of a performance. On days without a performance, the box office is open from 1000 AM to 600 PM."
"For how long is the Pittsburgh Symphony Orchestra box office open after the start of the performance?","The Pittsburgh Symphony Orchestra box office is open for walkup sales 30 minutes after the start of the performance."
"What is the note for the Pittsburgh Symphony Orchestra box office on Monday?","The Pittsburgh Symphony Orchestra box office is closed for walkup sales on Monday."
