Who named Pittsburgh in 1758?,"General John Forbes named Pittsburgh in 1758 in honor of British statesman William Pitt, 1st Earl of Chatham."
What was the Pittsburgh's name recognized as from 1891 to 1911?,Pittsburg
When did Pittsburgh become incorporated as a city?,1816.
What major expedition started preparations in Pittsburgh in 1803?,Lewis and Clark Expedition
Who was the first known European to explore the Pittsburgh region?,European explorers encountered the strategic confluence where the Allegheny and Monongahela Rivers meet to form the Ohio.
What early archaeological site near Pittsburgh provides evidence of Paleo-Indian habitation?,Meadowcroft Rockshelter.
What was the principal residence of Lenape chief Shingas?,Sawcunk on the mouth of the Beaver River.
What was the first European-built fort at the site of present-day Pittsburgh?,Fort Prince George
What was the name of the Pittsburgh revitalization project that began in 1946?,Renaissance I
When did the Three Rivers Stadium open?,1970
What organization should private tree planters register their trees with?,US Forest Service
What are the normal operating hours for Pittsburgh parks?,The provided document does not contain information about Pittsburgh parks. The document is about Pittsburgh Opera's office hours.
What is the estimated cost to inject a 10-inch diameter tree with systemic control?,"1,000,000 dollars is not the cost to inject a 10-inch diameter tree with systemic control. The document does not provide the cost for that specific action."
Where is the Black History Month Opening Reception held?,Not provided in the related documents.
How long does each speaker have to comment during Council meetings?,There is no information provided in the related documents regarding the length of time each speaker has to comment during Council meetings.
What major fire in Pittsburgh occurred in 1845?,The Great Fire of Pittsburgh
"When did Pittsburgh's population peak at more than 675,000?",1950.
What year was the University of Pittsburgh chartered?,1787.
What was Pittsburgh known as by 1850 due to its growing industry?,Pittsburgh was known as the Steel City by 1850.
What two rivers unite at the “Golden Triangle” in Pittsburgh?,The Allegheny River and the Monongahela River.
When did the revised Payroll Tax regulations for the City of Pittsburgh become effective?,"January 1, 2020."
What is the Payroll Tax rate in Pittsburgh?,0.55%
How often must the Payroll Tax be paid?,The Payroll Tax must be paid quarterly.
What is the deadline for paying the first quarter Payroll Tax?,May 31 of the current year.
Who handles the collection and administration of the Payroll Tax in Pittsburgh?,"The Director and/or the Department of Finance, with the Deputy Director of Finance serving as City Treasurer."
How much is budgeted for Workforce Training in 2024?,"53301 - 41,016 = 12,000."
What is the FTE (Full-Time Equivalent) for the Director - City Treasurer position in 2024?,"12 months, $ budget"
How much is the 2024 budget for the Financial Analyst position?,"13,291 dollars."
What percentage allocation of the Director is funded by the Department of Finance in 2024?,100% of the Director's budget is funded by the Department of Finance in 2024.
What is the hourly rate for a part-time Law Clerk in 2024?,13.40
In what year did Carnegie Mellon University merge with the Mellon Institute?,1967.
What is the highest ranking CMU achieved in undergraduate computer science according to U.S. News & World Report 2023?,1st place.
Who created the smiley :-) while working at Carnegie Mellon University?,Scott Fahlman
What year was CMU’s Robotics Institute founded?,"1979 (The Robotics Institute was founded in 1979, but CMU has a longer history in artificial intelligence dating back to the creation of the first AI computer program in 1956.)"
Who founded the discipline of Field Robotics at Carnegie Mellon?,"Professor William ""Red"" Whittaker"
"Where does ""HI - CMU Meetup: Rock Climbing"" take place on October 27?",Honolulu HI.
"When is ""Alumni Awards Ceremony"" of CMU held at Pittsburgh?","November 1, 2024, at 6:30 pm."
"When is ""NYC - Fall Happy Hour"" of CMU held at New York?","November 02, 2024, at New York NY."
"Where does ""ATL - Alumni Event Planning Meeting"" take place on November 06, 2024?",Atlanta GA.
"When is ""PIT - Saint Anthony Chapel Tour"" held on November 09, 2024?","The document does not provide information about the specific time of the event on November 09, 2024."
"What time is the ""Lucky Draw"" event at Arcade Comedy Theater started on October 27?",7:30 pm.
"What is the name of event happening at Heinz History Center on October 27, 2024?","I cannot provide a helpful answer based on the given documents. The documents do not provide any information about an event happening at Heinz History Center on October 27, 2024."
When will NACADA's 2024 Annual Conference take place?,"October 27 to October 30, 2024."
"What time is ""Peter Pan"" happening on October 27, 2024?","The documents do not provide enough information to determine the exact time for ""Peter Pan"" on October 25-27, 2024. However, it is mentioned that it takes place at the Benedum Center. To find the exact time, you would need to check the theater's schedule or contact them directly."
"Where is ""Harry Potter and the Order of the Phoenix in Concert"" held on October 27, 2024?",Heinz Hall.
