"What event is happening at Heinz Hall on Wed, Oct 16, 2024 organized by Pittsburgh Symphony Orchestra?","There is no event on Wed, Oct 16, 2024 organized by Pittsburgh Symphony Orchestra at Heinz Hall according to the provided documents."
"What event is happening at Heinz Hall on Fri, Nov 29 - Sun, Dec  1, 2024 organized by Pittsburgh Symphony Orchestra?","The Pittsburgh Symphony Orchestra is having an event at Heinz Hall on Fri, Nov 29 - Sun, Dec  1, 2024. The specific event details are not provided in the given documents."
"What time is the event 'Home Alone' at Heinz Hall organized by Pittsburgh Symphony Orchestra?","The event 'Home Alone' organized by Pittsburgh Symphony Orchestra at Heinz Hall is held from Fri Nov 22 to Sun Nov 24, 2024."
"Which organization is hosting 'Elvis Christmas Show'?","The Pittsburgh Symphony Orchestra is hosting 'Elvis Christmas Show'."
"Where is the event 'Highmark Holiday Pops' held?","The Highmark Holiday Pops event is held at Heinz Hall."
"When is the event 'Sensory Friendly Concert: Holiday Pops' scheduled to take place?","The event 'Sensory Friendly Concert: Holiday Pops' is scheduled to take place on Dec 16, 2023."
"What is the name of the event organized by CECEE / Heinz Hall Presents at Heinz Hall on Sat, Dec 28, 2024?","The name of the event organized by CECEE / Heinz Hall Presents at Heinz Hall on Sat, Dec 28, 2024 is not provided in the given documents."
"What is the date of the event 'Dvorak's New World'?","Dvorak's New World event takes place from Fri Feb 14 to Sun Feb 16, 2025."
"Which event is happening at Heinz Hall on Sat, Mar 22, 2025?","There is no event named "Sal Vulcano" happening at Heinz Hall on Sat, Mar 22, 2025."
"What time is the event 'PSO Disrupt: Lovestruck' at Heinz Hall organized by Pittsburgh Symphony Orchestra?","The event 'PSO Disrupt: Lovestruck' at Heinz Hall organized by Pittsburgh Symphony Orchestra is on Sat Apr 12 2025, with no specific time mentioned in the provided document."
"What is the address of the Pittsburgh Symphony Orchestra?","The Pittsburgh Symphony Orchestra is located at 600 Penn Avenue, Pittsburgh, PA 15222."
"What are the box office hours for the Pittsburgh Symphony Orchestra on weekdays?","The box office hours for the Pittsburgh Symphony Orchestra on weekdays are from 1000 AM to 600 PM. However, on Mondays, the ticket office is closed for walk-up sales. During performances, the ticket office is open for walk-up sales until 30 minutes after the start of the performance."
"For how long is the Pittsburgh Symphony Orchestra box office open after the start of the performance?","The Pittsburgh Symphony Orchestra box office is open for walkup sales 30 minutes after the start of the performance."
"What is the note for the Pittsburgh Symphony Orchestra box office on Monday?","The Pittsburgh Symphony Orchestra box office is closed for walkup sales on Monday."
"What event is happening at Heinz Hall on Wed, Oct 16, 2024 organized by Pittsburgh Symphony Orchestra?","There is no event on Wed, Oct 16, 2024 organized by Pittsburgh Symphony Orchestra at Heinz Hall according to the provided documents."
