query,answer
What is the name of exhibition held on October 30 at Hunt Library Gallery in CMU?,The name of the exhibition held on October 30 at Hunt Library Gallery in CMU is 17th International Exhibition of Botanical Art & Illustration.
Where does LGBTQIA+ Support and Social Group meet on November 19 of 2024?,"Use the following pieces of context to answer the question at the end.
If you don't know the answer, just say that you don't know, don't try to make up an answer.
Use three sentences maximum and keep the answer as concise as possible.

# event_name

LGBTQIA+ Support and Social Group

# event_time

Nov 19,2024|6 - 7 p.m. Weekly (to Dec 10)

# location

Morewood Gardens Group Room

# content

Come join us at this safer space for LGBTQIA+ folks to socialize and support one another.

# event_name

LGBTQIA+ Support and Social Group

# event_time

Nov 12,2024|6 - 7 p.m. Weekly (to Dec 10)

# location

Morewood Gardens Group Room

# content

Come join us at this safer space for LGBTQIA+ folks to socialize and support one another.

# event_name

LGBTQIA+ Support and Social Group

# event_time

Nov 26,2024|6 - 7 p.m. Weekly (to Dec 10)

# location

Morewood Gardens Group Room

# content

Come join us at this safer space for LGBTQIA+ folks to socialize and support one another.

# event_name

LGBTQIA+ Support and Social Group

# event_time

Oct 29,2024|6 - 7 p.m. Weekly (to Dec 10)

# location

Morewood Gardens Group Room

# content

Come join us at this safer space for LGBTQIA+ folks to socialize and support one another.

# event_name

LGBTQIA+ Support and Social Group

# event_time

Oct 15,2024|6 - 7 p.m. Weekly (to Dec 10)

# location

Morewood Gardens Group Room

# content

Come join us at this safer space for LGBTQIA+ folks to socialize and support one another.

# event_name

LGBTQIA+ Support and Social Group

# event_time

Oct 15,2024|6 - 7 p.m. Weekly (to Dec 10)

# location

Morewood Gardens Group Room

# content

Come join us at this safer space for LGBTQIA+ folks to socialize and support one another.

# event_name

LGBTQIA+ Support and Social Group

# event_time

Oct 15,2024|6 - 7 p.m. Weekly (to Dec 10)

# location

Morewood Gardens Group Room

# content

Come join us at this safer space for LGBTQIA+ folks to socialize and support one another.

# event_name

LGBTQIA+ Support and Social Group

# event_time

Oct 15,2024|6 - 7 p.m. Weekly (to Dec 10)

# location

Morewood Gardens Group Room

# content

Come join us at this safer space for LGBTQIA+ folks to socialize and support one another.

# event_name

LGBTQIA+ Support and Social Group

# event_time

Oct 15,2024|6 - 7 p.m. Weekly (to Dec 10)

# location

Morewood Gardens Group Room

# content

Come join us at this safer space for LGBTQIA+ folks to socialize and support one another.

# event_name

LGBTQIA+ Support and Social Group

# event_time

Oct 15,2024|6 - 7 p.m. Weekly (to Dec 10)

# location

Morewood Gardens Group Room

# content

Come join us at this safer space for LGBTQIA+ folks to socialize and support one another.

# event_name

LGBTQIA+ Support and Social Group

# event_time

Oct 15,2024|6 - 7 p.m. Weekly (to Dec 10)

# location

Morewood Gardens Group Room

# content

Come join us at this safer space for LGBTQIA+ folks to socialize and support one another.

# event_name

LGBTQIA+ Support and Social Group

# event_time

Oct 15,2024|6 - 7 p.m. Weekly (to Dec 10)

# location

Morewood Gardens Group Room

# content

Come join us at this safer space for LGBTQIA+ folks to socialize and support one another.

# event_name

LGBTQIA+ Support and Social Group

# event_time

Oct 15,2024|6 - 7 p.m. Weekly (to Dec 10)

# location

Morewood Gardens Group Room

# content

Come join us at this safer space for LGBTQIA+ folks to socialize and support one another.

# event_name

LGBTQIA+ Support and Social Group

# event_time

Oct 15,2024|6 - 7 p.m. Weekly (to Dec 10)

# location

Morewood Gardens Group Room

# content

Come join us at this safer space for LGBTQIA+ folks to socialize and support one another.

# event_name

LGBTQIA+ Support and Social Group

# event_time

Oct 15,2024|6 - 7 p.m. Weekly (to Dec 10)

# location

Morewood Gardens Group Room

# content

Come join us at this safer space for LGBTQIA+ folks to socialize and support one another.

# event_name

LGBTQIA+ Support and Social Group

# event_time

Oct 15,2024|6 - 7 p.m. Weekly (to Dec 10)

# location

Morewood Gardens Group Room

# content

Come join us at this safer space for LGBTQIA+ folks to socialize and support one another.

# event_name

LGBTQIA+ Support and Social Group

# event_time

Oct 15,2024|6 - 7 p.m. Weekly (to Dec 10)

# location

Morewood Gardens Group Room

# content

Come join us at this safer space for LGBTQIA+ folks to socialize and support one another.

# event_name

LGBTQIA+ Support and Social Group

# event_time

Oct 15,2024|6 - 7 p.m. Weekly (to Dec 10)

# location

Morewood Gardens Group Room

# content

Come join us at this safer space for LGBTQIA+ folks to socialize and support one another.

# event_name

LGBTQIA+ Support and Social Group

# event_time

Oct 15,2024|6 - 7 p.m. Weekly (to Dec 10)

# location

Morewood Gardens Group Room

# content

Come join us at this safer space for LGBTQIA+ folks to socialize and support one another.

# event_name

LGBTQIA+ Support and Social Group

# event_time

Oct 15,2024|6 - 7 p.m. Weekly (to Dec 10)

# location

Morewood Gardens Group Room

# content

Come join us at this safer space for LGBTQIA+ folks to socialize and support one another.

Question: Where does LGBTQIA+ Support and Social Group meet on November 19 of 2024?


Helpful Answer:

The LGBTQIA+ Support and Social Group meets at Morewood Gardens Group Room on November 19, 2024.

The group meets weekly from Nov 19,2024|6 - 7 p.m. to Dec 10."
"Where does the exhibition ""Here to Stay: Celebrating 40 Years at the Architecture Archives"" hold on November 20 of 2024?","The exhibition ""Here to Stay: Celebrating 40 Years at the Architecture Archives"" will be held at Hunt Library, Fourth Floor on November 20, 2024."
When does Make-Up Final Exams in 2024 happen?,"Make-Up Final Exams happen on Dec 16, 2024."
When is Yalda Night held?,"Yalda Night is held on Dec 20,2024."
"Where does ""HI - CMU Meetup: Rock Climbing"" take place on October 27?","HI - CMU Meetup: Rock Climbing takes place in Honolulu, HI on October 27, 2024."
"When is ""Alumni Awards Ceremony"" of CMU held at Pittsburgh?","The Andy Awards. The Andy Awards The Alumni Awards Ceremony was held on November 01, 2024 in Pittsburgh, PA."
"When is ""NYC - Fall Happy Hour"" of CMU held at New York?","NYC - Fall Happy Hour is held in New York on November 02, 2024."
"Where does ""ATL - Alumni Event Planning Meeting"" take place on November 06, 2024?","Webinar, Online."
"When is ""PIT - Saint Anthony Chapel Tour"" held on November 09, 2024?","The information provided does not mention any events occurring on November 9, 2024."
"What is the name of workshop held on November 09 at Marietta, GA?","The name of the workshop held on November 9 at Marietta, GA is ATL - Hands-on Workshop to Build Your LinkedIn Brand."
"When is ""PGH - November Network Planning Meeting"" of CMU held online?","The ""PGH - November Network Planning Meeting"" of CMU was held online on November 11, 2024."
"What is the place of ""SD - Wine Tasting Social"" happening on November 13, 2024?","The SD - Wine Tasting Social is happening in La Jolla, CA."
"What is the date of ""HLAA - Coffee with Glenn and Jonathan: Thanksgiving Edition"" at New York?","November 16, 2024"
