How many Super Bowl titles have the Pittsburgh Steelers won?,The Pittsburgh Steelers have won a total of 6 Super Bowl titles.
Who opened Pittsburgh’s first Black-owned restaurant in 1795?,Charles Richards opened Pittsburgh's first Black-owned restaurant in 1795.
"When does the Pittsburgh Cultural Trust hold the exhibition ""On Air: Lenka Clayton & Phillip Andrew Lewis""?","The exhibition ""On Air: Lenka Clayton & Phillip Andrew Lewis"" at the Pittsburgh Cultural Trust runs from July 26, 2025 to February 16, 2026."
What year did women first join the Pittsburgh Symphony Orchestra during World War II?,The documents do not provide information on the year women first joined the Pittsburgh Symphony Orchestra during World War II.
How much does a fixed-price 3-course meal cost during Pittsburgh Restaurant Week 2025?,A fixed-price 3-course meal during Pittsburgh Restaurant Week 2025 costs $20.25 - $45.25.
When is Pittsburgh Restaurant Week in Winter 2024?,"Pittsburgh Restaurant Week Winter 2024 will take place from Monday, January 15 to Sunday, January 21, 2024, with early access weekend from Friday, January 12 to Sunday, January 14."
What is the FTE (Full-Time Equivalent) for the Director - City Treasurer position in 2024?,The FTE for the Director - City Treasurer position in 2024 is 56.148.
What is the estimated cost to inject a 10-inch diameter tree with systemic control?,The related documents do not provide the estimated cost to inject a 10-inch diameter tree with systemic control.
What was Pittsburgh known as by 1850 due to its growing industry?,"Pittsburgh was known as a place of refuge for slaves escaping to freedom in the North, as well as a center for the iron and steel industry."
What major fire in Pittsburgh occurred in 1845?,The Great Fire of Pittsburgh occurred in 1845. It destroyed over a thousand buildings and caused 9M in damages. The city rebuilt with the aid of Irish immigrants.
What is the theme for Pittsburgh Restaurant Week Winter 2025?,The theme for Pittsburgh Restaurant Week Winter 2025 is not mentioned in the provided documents.
When is the Original Pittsburgh Taco Festival in 2024?,"The Original Pittsburgh Taco Festival will take place on September 14, 2024."
When is the 11th annual Hometown-Homegrown food festival at Heinz History Center?,The 11th annual Hometown-Homegrown food festival at Heinz History Center takes place from Aug 23 2025 to Jan 11 2026.
What two rivers unite at the “Golden Triangle” in Pittsburgh?,"The Allegheny River and the Monongahela River converge at the ""Golden Triangle"" in Pittsburgh to form the Ohio River."
What is the iconic fan symbol associated with the Steelers?,The Steelers' iconic fan symbol is the football icon.
When did the Three Rivers Stadium open?,Three Rivers Stadium opened in 1970.
What scholarship fund receives a portion of the proceeds from the Hall of Honor Museum?,The Art Rooney Scholarship Fund receives a portion of the proceeds from the Hall of Honor Museum.
In what year did Carnegie Mellon University merge with the Mellon Institute?,Carnegie Mellon University merged with the Mellon Institute in 1967. This merger allowed Carnegie Mellon to establish new colleges and expand its research capabilities.
Who received the NEMO Award from the ToonSeum for excellence in cartoon arts?,"The ToonSeum has given the NEMO Award to notable individuals for excellence in the cartoon arts. Recipients include veteran comicbook artist Ron Frenz, editorial and comicstrip artist Dick Locher, and comics artist editorial cartoonist and artists rights advocate Jerry Robinson."
How much is the general admission to The Frick Pittsburgh for an adult?,An adult admission to The Frick Pittsburgh is $20.
When is the Holiday Handbell: Ring Pittsburgh event at The Frick?,"The Holiday Handbell: Ring Pittsburgh event at The Frick is on December 7, 2024, from 2:00 PM to 3:15 PM."
What is the highest ranking CMU achieved in undergraduate computer science according to U.S. News & World Report 2023?,The highest ranking for Carnegie Mellon University in undergraduate computer science according to U.S. News & World Report 2023 is 1.
"Which executive holds the title of Senior Manager, Club Seat Sales and Retention?",George Birman
What is the nickname given to the Steelers' fanbase?,The Steelers' fanbase is known as 'Steeler Nation'.
What organization hosted the Science of Hockey program?,The Science of Hockey program is hosted by the Carnegie Science Center.
What museum in Pittsburgh has a collection of over 200 musical compositions by Stephen Foster?,The Heinz History Center in Pittsburgh houses a collection of over 200 musical compositions by Stephen Foster.
"When is ""Alumni Awards Ceremony"" of CMU held at Pittsburgh?","The Alumni Awards Ceremony of CMU is held on November 01, 2024, at Pittsburgh PA."
Is there an official dress code for Heinz Hall?,There is no official dress code for events in Heinz Hall. Many patrons wear business attire and many prefer to be more casual. Wear whatever makes you feel more comfortable.
What can visitors expect at The Frick's Car and Carriage Museum?,"Visitors can travel back to the time of horse-drawn carriages, see some of the first horseless carriages, and learn about Pittsburgh's role in the developing automobile industry at The Frick's Car and Carriage Museum. The museum houses historic carriages and automobiles dating back to the turn of the 20th century and hosts temporary exhibitions. Visitors can also take a free guided tour of the museum."
When will NACADA's 2024 Annual Conference take place?,"The NACADA 2024 Annual Conference will take place from October 27 to October 30, 2024. Attendees are responsible for their own lunch and dinner arrangements during the event."
Where can I park when attending a concert at Heinz Hall?,"Guaranteed prepaid parking is available to all ticket holders in the Sixth and Penn garage across the street from Heinz Hall. You may purchase prepaid parking when ordering your tickets. Additionally, the ParkPGH app can help you locate available garage parking near the Cultural District on the go."
What is the hourly rate for a part-time Law Clerk in 2024?,The hourly rate for a part-time Law Clerk in 2024 is $25.
How often must the Payroll Tax be paid?,"The Payroll Tax is paid quarterly. The first quarterly return is due May 31 and is based on the Payroll Expense during the months of January, February, and March. The second quarterly return is due August 31 and is based on the Payroll Expense during the months of April, May, and June. The third quarterly return is due November 30 and is based on the Payroll Expense during the months of July, August, and September. The fourth quarterly return is due February 28 of the succeeding year and is based on the Payroll Expense"
"When is the ""Shimmering Soundscapes"" concert happening","The ""Shimmering Soundscapes"" concert is happening on Saturday, November 9, 2024 at 7:30 pm at PNC Recital Hall Duquesne University."
What are the Saturday box office hours for the Pittsburgh Symphony Orchestra?,"The Pittsburgh Symphony Orchestra box office is open on Saturdays from 12:00 PM to 8:00 PM. However, it is closed on non-performance days."
What are the normal operating hours for Pittsburgh parks?,"Pittsburgh parks do not have specific normal operating hours mentioned in the provided text. However, the Pittsburgh Symphony Orchestra's box office hours are mentioned, which are weekdays from 10:00 AM to 6:00 PM, Monday only closed for walk-up sales, and weekends from 12:00 PM to 8:00 PM."
What is the Soldiers and Sailors Memorial Hall dedicated to?,"The Soldiers and Sailors Memorial Hall is a military museum dedicated to honoring military service members since the Civil War through artifacts and personal mementos. It is located in the East End of Pittsburgh, near universities and other cultural institutions."
"What can I explore in the exhibition ""Pittsburgh: A Tradition of Innovation""?","In the exhibition ""Pittsburgh: A Tradition of Innovation,"" you can explore six floors of award-winning exhibitions and interactive learning spaces. Climb the UPMC SmartSteps, a history exhibition in a stairwell, and punch a stamp card on all six floors to win a free Heinz pickle pin. Inside the Western Pennsylvania Sports Museum, throw a touchdown pass to legendary Steelers and score the winning goal for the Penguins. At the Fort Pitt Museum, discover the world-shaping events that occurred in Pittsburgh during the 18th century and take an in-depth exploration of the history"
Who is the Manager of Ticket Sales and Operations?,The Manager of Ticket Sales and Operations is Ben Lentz.
