How many Super Bowl titles have the Pittsburgh Steelers won?,The Pittsburgh Steelers have won six Super Bowl titles.
Who opened Pittsburgh’s first Black-owned restaurant in 1795?,Charles Richards opened Pittsburgh's first Black-owned restaurant in 1795.
"When does the Pittsburgh Cultural Trust hold the exhibition ""On Air: Lenka Clayton & Phillip Andrew Lewis""?","The exhibition ""On Air: Lenka Clayton & Phillip Andrew Lewis"" at the Pittsburgh Cultural Trust runs from July 26, 2025 to February 16, 2026."
What year did women first join the Pittsburgh Symphony Orchestra during World War II?,The Pittsburgh Symphony Orchestra documents do not provide information on the year women first joined the orchestra during World War II.
How much does a fixed-price 3-course meal cost during Pittsburgh Restaurant Week 2025?,The documents do not provide information on the cost of a fixed-price 3-course meal during Pittsburgh Restaurant Week 2025.
When is Pittsburgh Restaurant Week in Winter 2024?,"Pittsburgh Restaurant Week in Winter 2024 takes place from Monday, January 15 to Sunday, January 21, with an Early Access Weekend from Friday, January 12 to Sunday, January 14."
What is the FTE (Full-Time Equivalent) for the Director - City Treasurer position in 2024?,"The FTE for the Director - City Treasurer position in 2024 is 56.148 and the corresponding budget is $269,548."
What is the estimated cost to inject a 10-inch diameter tree with systemic control?,The documents do not provide the estimated cost to inject a 10-inch diameter tree with systemic control.
What was Pittsburgh known as by 1850 due to its growing industry?,"Pittsburgh was known as a place of refuge for slaves escaping to the North and Canada due to its proximity to the Underground Railroad. It was also a growing industrial city, with a thriving iron and steel industry."
What major fire in Pittsburgh occurred in 1845?,A major fire destroyed over a thousand buildings in Pittsburgh in 1845. The city rebuilt with the aid of Irish immigrants who came to escape the Great Famine.
What is the theme for Pittsburgh Restaurant Week Winter 2025?,The theme for Pittsburgh Restaurant Week Winter 2025 is not mentioned in the provided documents.
When is the Original Pittsburgh Taco Festival in 2024?,"The Original Pittsburgh Taco Festival in 2024 is an annual event, but the specific date is not mentioned in the provided text."
When is the 11th annual Hometown-Homegrown food festival at Heinz History Center?,"The 11th annual Hometown-Homegrown food festival is not mentioned in the provided documents. The Architecture Explorations event took place from June 13 to Aug 12, 2011, and the after school event took place from Aug 23, 2025 to Jan 11, 2026, both at the Heinz Architectural Center."
What two rivers unite at the “Golden Triangle” in Pittsburgh?,"The Allegheny River and the Monongahela River converge at the ""Golden Triangle"" in Pittsburgh to form the Ohio River."
What is the iconic fan symbol associated with the Steelers?,The Pittsburgh Steelers are represented by a football icon.
When did the Three Rivers Stadium open?,Three Rivers Stadium opened in 1970.
What scholarship fund receives a portion of the proceeds from the Hall of Honor Museum?,"The Hall of Honor Museum receives proceeds from the 31st Annual History Makers Award Dinner, which takes place on May 16, 2024, from 630 pm to 1000 pm. A different event, the Alumni Awards Ceremony, takes place on November 1, 2024, in Pittsburgh, PA. The proceeds from this event do not go to the Hall of Honor Museum scholarship fund."
In what year did Carnegie Mellon University merge with the Mellon Institute?,Carnegie Mellon University merged with the Mellon Institute in 1967. This merger allowed Carnegie Mellon to establish the Mellon College of Science and the College of Humanities and Social Sciences. The industrial research mission of the Mellon Institute survived the merger as the Carnegie Mellon Research Institute.
Who received the NEMO Award from the ToonSeum for excellence in cartoon arts?,"The ToonSeum has given its NEMO Award to notable individuals for excellence in the cartoon arts. Recipients to date include veteran comicbook artist Ron Frenz, editorial and comicstrip artist Dick Locher, and comics artist editorial cartoonist and artists rights advocate Jerry Robinson."
How much is the general admission to The Frick Pittsburgh for an adult?,The general admission to The Frick Pittsburgh for an adult is $20.
When is the Holiday Handbell: Ring Pittsburgh event at The Frick?,"The Holiday Handbell: Ring Pittsburgh event at The Frick is on December 7, 2024, from 2:00 PM to 3:15 PM."
What is the highest ranking CMU achieved in undergraduate computer science according to U.S. News & World Report 2023?,The highest ranking for Carnegie Mellon University's undergraduate computer science program according to U.S. News & World Report 2023 is 1.
"Which executive holds the title of Senior Manager, Club Seat Sales and Retention?",George Birman
What is the nickname given to the Steelers' fanbase?,"The Steelers' fanbase is known for its passion and loyalty, often referred to as 'Steeler Nation'."
What organization hosted the Science of Hockey program?,The Science of Hockey program is hosted by Carnegie Science Center’s Science on the Road outreach initiative.
What museum in Pittsburgh has a collection of over 200 musical compositions by Stephen Foster?,The Andy Warhol Museum in Pittsburgh houses a significant collection of over 200 musical compositions by Stephen Foster. This collection is a testament to the rich musical history of Pittsburgh and the influence of its native sons.
"When is ""Alumni Awards Ceremony"" of CMU held at Pittsburgh?","The Alumni Awards Ceremony of CMU is held on November 1, 2024, at 6:30 pm in Simmons Auditorium, Tepper Building, Pittsburgh."
Is there an official dress code for Heinz Hall?,There is no official dress code for events in Heinz Hall. Many patrons wear business attire and many prefer to be more casual. Wear whatever makes you feel more comfortable.
What can visitors expect at The Frick's Car and Carriage Museum?,"Visitors can expect a new tour at The Frick's Car and Carriage Museum, which aims to present accurate information in engaging ways. Additionally, there is an opportunity to attend a talk by Dr. Thomas Kinney on the shift from carriages to automobiles. Tickets for the talk can be purchased online."
When will NACADA's 2024 Annual Conference take place?,"The NACADA 2024 Annual Conference will take place from October 27 to October 30, 2024.
It will be held at the David L Lawrence Convention Center in Pittsburgh, PA.
Attendees are responsible for their own lunch and dinner arrangements."
Where can I park when attending a concert at Heinz Hall?,"You can park in the Sixth and Penn garage across the street from Heinz Hall. Season ticket holders have the first opportunity to purchase prepaid guaranteed parking for 15 per concert. Alternatively, you can use the ParkPGH app to find real-time parking updates on available spots in downtown Pittsburgh garages."
What is the hourly rate for a part-time Law Clerk in 2024?,The hourly rate for a part-time Law Clerk in 2024 is $15.45.
How often must the Payroll Tax be paid?,"The Payroll Tax is paid quarterly. The tax is based on the amount of Payroll Expense during specific months and is due on certain dates throughout the year. The first quarterly return and tax payment are due May 31, based on January, February, and March. The second quarterly return and tax payment are due August 31, based on April, May, and June. The third quarterly return and tax payment are due November 30, based on July, August, and September. The fourth quarterly return and tax payment are due February 28 of the succeeding year, based"
"When is the ""Shimmering Soundscapes"" concert happening","The ""Shimmering Soundscapes"" concert is happening on Saturday, November 9, 2024 at 7:30 pm."
What are the Saturday box office hours for the Pittsburgh Symphony Orchestra?,"The Pittsburgh Symphony Orchestra box office is open on Saturdays from 12:00 PM to 8:00 PM. However, it is closed on nonperformance days."
What are the normal operating hours for Pittsburgh parks?,"Pittsburgh parks do not have normal operating hours as they vary depending on the specific location and whether there is a performance or event taking place. However, the Pittsburgh Symphony Orchestra box office is open weekdays from 10:00 AM to 6:00 PM, Mondays only for walk-up sales, and Saturdays from 12:00 PM to 8:00 PM. Closed on nonperformance days."
What is the Soldiers and Sailors Memorial Hall dedicated to?,The Soldiers and Sailors Memorial Hall is a military museum dedicated to honoring military service members since the Civil War through artifacts and personal mementos.
