"What bank, which is the 5th largest in the US, is based in Pittsburgh?",PNC
How many bridges does Pittsburgh have?,"4463, according to the text. However, the text also mentions that over 2000 bridges span the landscape of Allegheny County, so the total number of bridges in the area is likely much higher."
Who named the city of Pittsburgh?,"General John Forbes named the city of Pittsburgh in honor of British statesman William Pitt, 1st Earl of Chatham."
At what park do the three rivers converge in Pittsburgh?,Point State Park
How many neighborhoods does Pittsburgh have?,90
What Pittsburgh neighborhood is also known as Little Italy?,Bloomfield
What is the largest employer in Pittsburgh?,The University of Pittsburgh Medical Center employs 48000 people.
What Pittsburgh rapper has an album title referencing Frick Park?,Mac Miller's album title is Blue Slide Park.
What famous vaccine was developed at University of Pittsburgh in 1955?,The first polio vaccine was developed at University of Pittsburgh in 1955.
What Pittsburgh bridge was the first lenticular truss bridge?,The Smithfield Street Bridge
What city in China is a sister city of Pittsburgh?,Wuhan
What day was Pittsburgh founded?,"Pittsburgh was founded on May 24, 2024 (for the Friday's event). However, the city was incorporated as a city on April 22, 1794."
Who is Pittsburgh named after?,"William Pitt, 1st Earl of Chatham."
Who was Pittsburgh's first mayor?,Ebeneezer Denny
Who was Pittsburgh's first (and only) female mayor?,Sophie Masloff
What day were the Pittsburgh Steelers founded?,1933.
Which sports team is the oldest professional sports team in Pittsburgh?,Pittsburgh Pirates (baseball)
What famous American artist has a museum dedicated to his work in Pittsburgh?,Andy Warhol.
What is the name of the dinosaur statue outside the Carnegie Museums in Oakland?,The name of the dinosaur statue outside the Carnegie Museums in Oakland is not mentioned in the provided text.
What Pittsburgh neighborhood is home to the steepest street in the US?,"The neighborhood names that make reference to hills heights or similar features. (For example, Mt. Washington, Mt. Oliver, etc.)"
What is the amusement tax rate in Pittsburgh?,5%
"Based on the definition of a Performing Art in the Pittsburgh tax code, is admissions to a movie theater considered a Performing Art?",No
Where should tax-related petitions to the Treasurer of Pittsburgh be mailed to?,"414 Grant St, Pittsburgh PA 15219-2476."
Within what time frame shall the Treasurer of Pittsburgh respond to a tax-related petition?,60 days.
After 2016, when is the payroll tax for the first quarter due?,"May 31, based on payroll expense in January, February, and March of the current year."
Under the Pittsburgh payroll expense tax regulations, how long does a Taxpayer have to respond to audit notices?,"1159PM Eastern Time on the due date for electronically submitted reports, and a two-day grace period for privately postmarked mailed reports."
What is the maximum fine for making a false statement on a tax return in Pittsburgh?,The documents do not provide the maximum fine for making a false statement on a tax return in Pittsburgh.
"Except for new businesses, when are both the tax return and payment due in Pittsburgh?",30 days after the quarter end for the prior quarters activity.
At what address can forms for tax returns be obtained in the city of Pittsburgh?,"City-County Building, Pittsburgh, Pennsylvania 15219."
How much is the Local Services Tax in Pittsburgh?,"$1 per employee per week for employees earning more than $12,000 annually."
What is the parking tax rate in the city of Pittsburgh?,0.55%
Who is the current chief of staff of the mayor of the city of Pittsburgh?,Jake Wheatley
Who is the current director of finance of the city of Pittsburgh?,The current director of finance of the city of Pittsburgh is not listed in the provided document.
What is the projected total revenue for the city of Pittsburgh in 2025?,"1,191,666 + 1,179,868 = 2,371,534. However, the document does not provide the projected revenue for 2025. The given data is for the revenue in 2024."
What was Pittsburgh's total revenue in 2021?,"1,191,666 (This is the revenue from the document provided, but it's not clear if it's the total revenue for Pittsburgh in 2021 or just a part of it.)"
"In 2024, what percentage of the projected total revenue will be non-tax revenue?",24.1%
"In 2022, how much did the city of Pittsburgh spend on the Bureau of Police?","69,637,426 dollars."
"In 2022, how much did the city of Pittsburgh spend on Parks and Recreation?","5,572,657 dollars."
How often is the City Clerk elected by members of the Pittsburgh City Council?,"The City Clerk is not elected by members of the Pittsburgh City Council. Instead, the City Clerk is an appointed position."
How much did the Fire Chief in Pittsburgh make in 2023?,"137,279."
Who is the concertmaster of the Pittsburgh Symphony Orchestra?,Charles Stegeman
Who is the acting principal violist of the Pittsburgh Symphony Orchestra,There is no mention of the acting principal violist in the provided documents.
Who is the principal bassist of the Pittsburgh Symphony Orchestra,"I'm sorry, the provided documents do not mention the name of the principal bassist of the Pittsburgh Symphony Orchestra."
Who is the assistant librarian of the Pittsburgh Symphony Orchestra,"I'm sorry, there is no related document that answers the question directly. However, based on my knowledge, the Pittsburgh Symphony Orchestra does not have an assistant librarian mentioned in the provided documents."
When do doors open before performances for concerts at the Pittsburgh Symphony for classical concerts?,10:00 AM to 30 minutes after start of performance.
Is there an official dress code for Heinz Hall?,"No, there is no official dress code for Heinz Hall."
"What two operas are being performed at the Benedum Center on Nov 9, 12, 15, and 17?",Mascagni's Cavalleria Rusticana and Leoncavallo's Pagliacci.
What opera is being performed by an all-Japanese and Japanese American creative team at the Benedum Center in March 2025?,Madama Butterfly
Who is the current leader of the Pittsburgh Opera?,"The current leaders of the Pittsburgh Opera are Antony Walker (Conductor), Linda Brovsky (Stage Director), John Gunter (Scenic Designer), Alice Bristow (Costume Designer), Andrew Ostrowski (Lighting Designer), Cindy Knight (Stage Manager), Matthew Haney (Assistant Stage Director), Alex W Seidel (Assistant Stage Manager), Nick Garcia (Wig and Makeup Designer), James Geier (Assistant Wig and Makeup Designer), Nicole Pagano (Assistant Lighting Designer), Todd Nonn (Prop Master), Glenn Lewis"
Who is the current music director of the Pittsburgh Opera?,Antony Walker
Who is the current resident pianist for the Pittsburgh Opera?,The current resident pianist for the Pittsburgh Opera is not mentioned in the provided documents.
Where does the Pittsburgh Opera perform?,"2425 Liberty Ave, Pittsburgh, PA 15222."
What is the suggested time to arrive before a show at the Pittsburgh Opera?,30 - 45 minutes before the start time.
"What dates is ""Peter Pan"" by the Pittsburgh Ballet Theater playing at the Benedum Center?","October 25, 26, and 27, 2024."
When was the Pittsburgh Cultural Trust founded?,1984.
How many square blocks is the Pittsburgh Cultural District?,14 blocks.
What are the gallery hours for The Galleries at the Pittsburgh Cultural Trust?,"11am - 5pm, Wednesday to Sunday. Closed 1 - 1:30pm."
What are the dates for Monument Eternal: Le’Andra LeSeur at the Wood Street Gallery?,Sat Feb  1  Sat May 17 2025.
What number can you call to purchase Cultural Trust event tickets?,4124566666.
What is the reprint fee per ticket for Cultural Trust event tickets?,There is no reprint fee for Cultural Trust event tickets.
What year did Little Italy Days start?,2002.
On what date does Pittsburgh Restaurant Week Winter 2025 begin?,"January 13, 2025."
When does Pittsburgh Restaurant Week Winter 2025 end?,"Sunday, January 19, 2025."
What is the location of The UPMC Rink at PPG Place?,Downtown Pittsburgh during the holidays.
In what year did the UPMC Rink at PPG Place become a staple holiday attraction in Downtown Pittsburgh?,2001.
What type of celebration is the Pittsburgh Irish Festival?,St Patricks Day Parade
"Besides live music and dance, what activities are offered for children at the Pittsburgh Irish Festival?","Scavenger hunts, brick building STEM activities."
What year was the Pennsylvania Railroad Station opened?,1851.
Where is St. Stanislaus Kostka Church located?,"I'm sorry, St. Stanislaus Kostka Church is not mentioned in the provided documents."
What architectural styles are reflected in St. Stanislaus Kostka Church?,The church reflects a mix of Byzantine and ecclesiastical styles.
What is the name of the bridge connecting the Allegheny County Courthouse to the prison?,Bridge of Sighs
How tall are the columns at the Mellon Institute of Industrial Research?,"8000 square feet or 740 m2. The question asks for the height of the columns, but the document does not provide that information. Therefore, no helpful answer is available based on the provided documents."
In what year did the original Allegheny County Courthouse burn down?,1886 (The original Allegheny County Courthouse burned down before the completion of the third and present Allegheny County Courthouse in 1886.)
In what year was Carnegie Mellon University founded?,1900 (as Carnegie Technical Schools)
How many faculty members are there at Carnegie Mellon University?,"The documents do not provide the number of faculty members at Carnegie Mellon University. However, the university is known for having many Nobel and Turing Award winners among its faculty and alumni."
What programming language was invented by CMU alumnus James Gosling?,Java
In what year was the first U.S. degree in drama awarded by CMU?,1914.
What neighborhood in Pittsburgh is known for having the best view of the city?,Mount Washington.
Which Pittsburgh neighborhood is recognized for its historical black culture and change?,"90 unique neighborhoods in Pittsburgh. (Note: The question asks for a specific neighborhood, but the provided documents do not give a definitive answer. The answer given is a general statement about Pittsburgh's cultural offerings.)"
Where is Pittsburgh’s largest Episcopal church located?,Pittsburgh Theological Seminary
What neighborhood has a reimagined industrial mill town with breweries and local shopping?,Strip District.
What Pittsburgh neighborhood features both world-class hospitals and museums?,The Oakland neighborhood
What nickname was given to Pittsburgh due to its strategic location?,Gateway to the West
What Pittsburgh-based food manufacturer is known for their philanthropy?,afco (American Food and Culture Organization)
What was Pittsburgh’s rank in size among U.S. cities during the mid-1950s?,Pittsburgh's rank in size among U.S. cities during the mid-1950s is not provided in the related documents.
What pittsburgh neighborhood is Dr. Tumblety’s Apothecary and Tasting Lounge located in?,Lawrenceville
What unique collection is housed in the Bayernof Museum in pittsburgh?,The Bayernhof Music Museum houses an eclectic collection.
What is Pittsburgh's oldest vegan restaurant?,"15 of the city's top vegan restaurants, cafes, pizza places, bakeries, and ice cream shops. (The question does not specify the oldest one.)"
What abandoned state correctional facility is located at the end of one of Pittsburgh’s bike trails?,The document does not provide information on an abandoned state correctional facility located at the end of one of Pittsburgh’s bike trails.
"What is the name of the museum in Garfield that explores the relationship between culture, nature, and biotechnology?",The Center for PostNatural History
Where is the 17th International Exhibition of Botanical Art & Illustration held?,"5th Fl., Hunt Institute for Botanical Documentation."
How many artists and countries are represented in the 17th International Exhibition of Botanical Art & Illustration?,43 artists and 19 countries.
What medium is used for the artwork 'Arisaema ringens' by Marianne Hazlewood featured in the 17th International Exhibition of Botanical Art & Illustration?,The medium for the artwork 'Arisaema ringens' by Marianne Hazlewood is botanical art.
How many botanical artists are recorded in the Catalogue of the International Exhibition of Botanical Art & Illustration database?,43 artists.
What anniversary does the 'Here to Stay: Celebrating 40 Years at the Architecture Archives' exhibition celebrate?,40th anniversary of the Architecture Archives.
Who is the head paleontologist that guest-starred on Daniel Tiger’s Neighborhood?,There is no helpful answer related to the question from the provided documents.
How many specimens are displayed in Hillman Hall at the Carnegie Museum of Natural History,The documents do not provide information on the number of specimens displayed in Hillman Hall at the Carnegie Museum of Natural History.
How many objects from ancient Egypt does the Carnegie Museum of Natural History have in its collection?,More than 80 ancient Egyptian objects are featured in the exhibition.
How many objects are highlighted in The Stories We Keep: Conserving Objects from Ancient Egypt exhibit?,More than 80 ancient objects are highlighted in The Stories We Keep exhibit.
When does The Stories We Keep: Conserving Objects from Ancient Egypt exhibit run until?,"Mar 9, 2025."
Which Pittsburgh jazz club is located in the Strip District?,"There is no jazz club in the Strip District mentioned in the provided text. However, the Pittsburgh International Jazz Festival takes place in Downtown Pittsburgh."
Which jazz pianist from Pittsburgh is known for their contributions to the jazz scene?,Lynn Speakman
Who is a famous Pittsburgh-born jazz drummer mentioned in the 'jazz heaven' band?,Brett Williams
Which jazz composer from Pittsburgh is known for writing for the greats?,Billy Strayhorn
What annual jazz festival takes place in downtown Pittsburgh every June?,There is a mistake in the question. The Pittsburgh International Jazz Festival takes place in September.
How much did Andrew Carnegie donate to establish a technical institute in Pittsburgh in 1900?,1 million dollars.
"Who was the first student to receive a doctorate from Carnegie Tech, and in what year?",Mao Yisheng received the first doctorate from Carnegie Tech in 1919.
What significant technological advancement arrived at Carnegie Tech in 1956?,The arrival of the first IBM computer to campus.
When did Carnegie Mellon celebrate the 50th anniversary of the Carnegie Tech-Mellon Institute merger?,2017.
What major event in the mid-20th century marked a shift in gender inclusion at Carnegie Tech?,"1973, women joined their male peers in classrooms and dorms."
"What significant curriculum reform, launched in 1938, combined technical education with a broader understanding of society?",The 'Carnegie Plan'
On what date is Mitchell Tenpenny performing in Pittsburgh?,There is no related document for Mitchell Tenpenny's performance date in Pittsburgh.
Which hall is the Harry Potter and the Order of Phoenix Concert taking place?,Heinz Hall.
On what date is the Harry Potter and the Order of Phoenix Concert taking place?,"Sat Oct 26 and Sun Oct 27, 2024."
Where is the Lindenwood Lions vs Robert Morris Colonial's men's hockey match taking place?,The documents do not provide information on the location of the Lindenwood Lions vs Robert Morris Colonials men's hockey match.
When on November 2024 are Montreal Canadiens facing Pittsburgh Penguins?,"November 2, 2024."
What time does the Montreal Canadiens vs Pittsburgh Penguins match start on November the 2nd?,7:00 pm.
Which theater is the Beauty and Beast being performed in November?,Byham Theater.
Where are Dallas Stars playing Pittsburgh Penguins ?,"The document does not provide the location of the Dallas Stars playing Pittsburgh Penguins. However, it does mention that there is a Veteran's Day game between the two teams with a discounted ticket price of $30."
When are Dallas Stars playing Pittsburgh Penguins ,"November 11, 2024."
Where is Matteo Bocelli performing?,"Carnegie of Homestead Music Hall or Carnegie Music Hall (both in Pittsburgh, Pennsylvania, US)"
What dates in December is the Highmark Holiday Pops this year?,"Dec 13 to Dec 22, 2024."
When is the Dandy Andy Warhol’s Queer History event?,"3pm, last Saturday of each month."
When is the Coffee + connect event in October?,October 25 at 10:00 am - 11:00 am
Which venue is the Taekwondo 2024 Fall Nationals taking place?,David L Lawrence Convention Center
When is the Taekwondo 2024 Fall Nationals 2024?,October 23-26, 2024
When is Billie Eilish's concert in Pittsburgh? ,October 13, 2024 at 7 PM
When is Justin Timberlake performing in Pittsburgh?,"7:30 PM on Dec 14, 2024."
What time of the day does the Haunted Pittsburgh Ghost Tour take place?,7 pm.
What is the venue for the Steelers Tailgate?,Stage AE
Where is the Georgia Tech Yellow Jackets vs Panthers game taking place?,"Acrisure Stadium, Pittsburgh Pennsylvania."
When is the Georgia Tech Yellow Jackets vs Panthers game taking place?,February 25, 2025
When is the Goose concert in Pittsburgh?,"Nov 7, 2024, 8:00 PM."
What day of the week is the  Goose concert?,The Goose concert is on a Thursday.
When are the Steelers playing the Chiefs?,"Dec 25, 2024."
Who is moderating December's Lit Friday?,Jessica Lanay.
Who is the director of Strauss and Puccini?,Pittsburgh Symphony Orchestra.
Where can i watch Strauss and Puccini?,Heinz Hall.
