"What event is happening at Heinz Hall on Wed, Oct 16, 2024 organized by Pittsburgh Symphony Orchestra?","There is no event on Wed, Oct 16, 2024 organized by Pittsburgh Symphony Orchestra at Heinz Hall according to the provided documents."
"What event is happening at Heinz Hall on Fri, Nov 29 - Sun, Dec  1, 2024 organized by Pittsburgh Symphony Orchestra?","The Pittsburgh Symphony Orchestra is hosting an event at Heinz Hall from Fri, Nov 29 to Sun, Dec  1, 2024. However, the specific event name and price information are not provided in the given documents."
"What time is the event 'Home Alone' at Heinz Hall organized by Pittsburgh Symphony Orchestra?","The event 'Home Alone' organized by Pittsburgh Symphony Orchestra at Heinz Hall is held from Fri Nov 22 to Sun Nov 24, 2024."
"Which organization is hosting 'Elvis Christmas Show'?","The Pittsburgh Symphony Orchestra is hosting 'Elvis Christmas Show'."
"Where is the event 'Highmark Holiday Pops' held?","Highmark Holiday Pops is held at Heinz Hall."
"When is the event 'Sensory Friendly Concert: Holiday Pops' scheduled to take place?","The event 'Sensory Friendly Concert: Holiday Pops' is scheduled to take place on Dec 17, 2023."
"What is the name of the event organized by CECEE / Heinz Hall Presents at Heinz Hall on Sat, Dec 28, 2024?","The name of the event organized by CECEE / Heinz Hall Presents at Heinz Hall on Sat, Dec 28, 2024 is not provided in the given documents."
"What is the date of the event 'Dvorak's New World'?","Dvorak's New World is held from Fri Feb 14 to Sun Feb 16, 2025."
"Which event is happening at Heinz Hall on Sat, Mar 22, 2025?","There is no event named "Sal Vulcano" happening at Heinz Hall on Sat, Mar 22, 2025."
"What time is the event 'PSO Disrupt: Lovestruck' at Heinz Hall organized by Pittsburgh Symphony Orchestra?","The event 'PSO Disrupt: Lovestruck' at Heinz Hall organized by Pittsburgh Symphony Orchestra is on April 12, 2025, and the URL for ticket purchases is <http://www.trustarts.org/production/93522/psodisruptlovestruck>. However, the specific time of the event is not provided in the given documents."
"What is the address of the Pittsburgh Symphony Orchestra?","The Pittsburgh Symphony Orchestra is located at 600 Penn Avenue, Pittsburgh, PA 15222."
"What are the box office hours for the Pittsburgh Symphony Orchestra on weekdays?","The Pittsburgh Symphony Orchestra box office is open on weekdays from 1000 AM to 600 PM. However, on Mondays, the ticket office is closed for walk-up sales. During performances, the ticket office is open for walk-up sales until 30 minutes after the start of the performance."
"For how long is the Pittsburgh Symphony Orchestra box office open after the start of the performance?","The Pittsburgh Symphony Orchestra box office is open for walkup sales 30 minutes after the start of the performance."
"What is the note for the Pittsburgh Symphony Orchestra box office on Monday?","The Pittsburgh Symphony Orchestra box office is closed for walkup sales on Monday."
"What are the box office hours for the Pittsburgh Symphony Orchestra on weekdays with performances?","The Pittsburgh Symphony Orchestra's box office is open for walk-up sales on weekdays with performances from 1000 AM to 30 minutes after the start of the performance."
"What are the Saturday box office hours for the Pittsburgh Symphony Orchestra?","The Pittsburgh Symphony Orchestra's box office is open on Saturdays from 1200 PM to 800 PM."
"What are the Sunday Pittsburgh Symphony Orchestra box office hours for the Pittsburgh Symphony Orchestra?","The Pittsburgh Symphony Orchestra box office hours for Sundays are from 1200 PM to 400 PM."
"What is the phone number for the Pittsburgh Symphony Orchestra’s box office?","The Pittsburgh Symphony Orchestra’s box office can be reached at 4123924900."
"What is the note for the Pittsburgh Symphony Orchestra’s box office on non-performance Sundays?","The Pittsburgh Symphony Orchestra's box office is closed on non-performance Sundays."
"On which days is the Pittsburgh Symphony Orchestra box office closed for walk-up sales?","The Pittsburgh Symphony Orchestra box office is closed for walk-up sales on Mondays and nonperformance days."
"How long does the Pittsburgh Symphony Orchestra's box office stay open after performances start on weekdays?","The Pittsburgh Symphony Orchestra's box office stays open for walkup sales 30 minutes after the start of a performance on weekdays."
"When do doors open before performances for concerts at the Pittsburgh Symphony for classical concerts?","Doors open one hour and 15 minutes prior to classical concerts at the Pittsburgh Symphony."
"What is the role of David McCarroll in the Pittsburgh Symphony Orchestra?","David McCarroll is the Manager of Group Sales and Community Initiatives for the Pittsburgh Opera. He is not directly involved with the Pittsburgh Symphony Orchestra."
"What is the role of Dylan Naroff in the Pittsburgh Symphony Orchestra?","Dylan Naroff is a musician in the Pittsburgh Symphony Orchestra, specifically a percussionist."
"What is the role of Ellen Chen-Livingston in the Pittsburgh Symphony Orchestra?","Ellen Chen-Livingston is a composer whose works have been commissioned and performed by the Pittsburgh Symphony Orchestra. Some of her compositions include Concerto for Bassoon and Orchestra for Nancy Goeres, Music for Oboe and Orchestra for Cynthia Koledo DeAlmeida, and Concerto for Violin and Orchestra. The Orchestra has produced many fine compact discs with her compositions, including a complete cycle devoted to the works of Sibelius, which won a Grammy award."
"Who are the First Violin 24-25 season musicians of the Pittsburgh Symphony Orchestra?","The first violin 24-25 season musicians of the Pittsburgh Symphony Orchestra are Juan C Jaramillo and Kate Massagli Black."
"Who is the second violin william & sarah galbraith chair of the Pittsburgh Symphony Orchestra?","The second violin William & Sarah Galbraith chair of the Pittsburgh Symphony Orchestra is currently vacant."
"Who is the Viola Acting Assistant Principal of the Pittsburgh Symphony Orchestra?","The Viola Acting Assistant Principal of the Pittsburgh Symphony Orchestra is Craig Knox."
"What is the role of Stephanie Tretick in the Pittsburgh Symphony Orchestra?","Stephanie Tretick is a cellist in the Pittsburgh Symphony Orchestra."
"What is the role of Ian Woodworth in the Pittsburgh Symphony Orchestra?","Ian Woodworth is a conductor who has performed with the Pittsburgh Symphony Orchestra as a guest conductor. He has also led the orchestra in various styles and pays special attention to the music of British and American composers. Woodworth is part of the innovative artistic leadership team of the Pittsburgh Symphony Orchestra, which includes Sir Andrew Davis, Yan Pascal Tortelier, and Marek Janowski. Each member of this team brings significant expertise in a richly diverse repertoire, focusing on different areas of repertoire which highlights their strengths and interests. Sir Andrew Davis provides overall programming input for the entire season"
"Who is the Clarinet Sidney Stark, Jr. Memorial Chair of the Pittsburgh Symphony Orchestra?","Alix Reinhardt holds the Clarinet Sidney Stark, Jr. Memorial Chair of the Pittsburgh Symphony Orchestra."
"Who is the Bassoon Acting Principal of the Pittsburgh Symphony Orchestra?","The Bassoon Acting Principal of the Pittsburgh Symphony Orchestra is Cynthia Koledo DeAlmeida."
"What is the role of Samuel Nemec in the Pittsburgh Symphony Orchestra?","Samuel Nemec is a conductor in the Pittsburgh Symphony Orchestra."
"What is the role of Yevgeny Faniuk in the Pittsburgh Symphony Orchestra?","Yevgeny Faniuk is a conductor who has worked with the Pittsburgh Symphony Orchestra. He has conducted semistaged presentations of Bach's St John Passion in 2016 and Haydn's Creation in 2017. He also returned to work with Manfred Honeck and the Symphony in 2011 for a remarkable achievement. Faniuk is known for his work with stage director Samuel Helfrich and his commitment to the Music for the Spirit program, which developed a partnership between the orchestra and local faith communities and celebrates the spiritual and universal"
"Who is the Bass Clarinet Principal | Mr. and Mrs. Willard J. Tillotson, Jr. Chair of the Pittsburgh Symphony Orchestra?","There is no Bass Clarinet Principal mentioned in the provided documents."
"Who is the concertmaster of the Pittsburgh Symphony Orchestra?","Charles Stegeman is the concertmaster of the Pittsburgh Symphony Orchestra."
"Who is the acting principal violist of the Pittsburgh Symphony Orchestra?","The acting principal violist of the Pittsburgh Symphony Orchestra is not explicitly stated in the provided documents. However, the names of some violists are mentioned, including Kathleen Melucci (principal cellist) and Jonathan Tortolano (assistant principal cellist). There is no mention of a principal violist or an acting principal violist. Therefore, it is not possible to determine the identity of the acting principal violist based on the given documents."
"Who is the principal bassist of the Pittsburgh Symphony Orchestra?","Jacqueline Herbein is the principal bassist of the Pittsburgh Symphony Orchestra."
"Who is the assistant librarian of the Pittsburgh Symphony Orchestra?","Sheryl Hadeka is the assistant librarian of the Pittsburgh Symphony Orchestra."
"Who is the concertmaster | rachel mellon walton chair of the Pittsburgh Symphony Orchestra?","The concertmaster of the Pittsburgh Symphony Orchestra is David McCarroll. However, the title associated with him in the provided documents is "Rachel Mellon Walton Chair of the Pittsburgh Symphony Orchestra." This title indicates that Rachel Mellon Walton holds the chair position for the concertmaster role, but David McCarroll is the person who fulfills that role."
"What is the role of David McCarroll in the Pittsburgh Symphony Orchestra?","David McCarroll is the Manager of Group Sales and Community Initiatives for the Pittsburgh Opera. He is not directly involved with the Pittsburgh Symphony Orchestra."
"Who is the associate concertmaster | beverlynn & steven elliott chair of the Pittsburgh Symphony Orchestra?","The associate concertmaster of the Pittsburgh Symphony Orchestra is Glenn Lewis."
"What is the role of Justine Campagna in the Pittsburgh Symphony Orchestra?","Justine Campagna is a soprano singer who has performed as a guest soloist at Pittsburgh Symphony gala concerts and notable debuts during Manfred Honeck's tenure as music director. She is not an orchestra musician or a member of the Pittsburgh Musicians Union."
"Who is the assistant concertmaster of the Pittsburgh Symphony Orchestra?","Rachel Stegeman is the assistant concertmaster of the Pittsburgh Symphony Orchestra."
"What is the role of Dylan Naroff in the Pittsburgh Symphony Orchestra?","Dylan Naroff is a musician in the Pittsburgh Symphony Orchestra, specifically a percussionist."
"What is the role of Kelsey Blumenthal in the Pittsburgh Symphony Orchestra?","Kelsey Blumenthal is not mentioned in the provided documents."
"Who is the selma wiener berkman memorial chair of the Pittsburgh Symphony Orchestra?","Ellen Chen is the Selma Wiener Berkman Memorial Chair of the Pittsburgh Symphony Orchestra."
"What is the role of Ellen Chen-Livingston in the Pittsburgh Symphony Orchestra?","Ellen Chen-Livingston is a composer whose works have been commissioned and performed by the Pittsburgh Symphony Orchestra. Some of her compositions include Concerto for Bassoon and Orchestra for Nancy Goeres, Music for Oboe and Orchestra for Cynthia Koledo DeAlmeida, and Concerto for Violin and Orchestra. The Orchestra has produced many fine compact discs with her compositions, including a complete cycle devoted to the works of Sibelius, which won a Grammy award."
"Who is the dr. & mrs. william e. rinehart chair of the Pittsburgh Symphony Orchestra?","The document does not provide the name of the individuals holding the Dr. & Mrs. William E. Rinehart Chair in the Pittsburgh Symphony Orchestra."
"What is the role of Irene Cheng in the Pittsburgh Symphony Orchestra?","Irene Cheng is a musician in the Pittsburgh Symphony Orchestra. Specifically, she is listed as a 2425 Season Musician."
"Who is the lois r. brozenick memorial chair of the Pittsburgh Symphony Orchestra?","Sarah Clendenning is the Lois R. Brozenick Memorial Chair of the Pittsburgh Symphony Orchestra."
"What is the role of Sarah Clendenning in the Pittsburgh Symphony Orchestra?","Sarah Clendenning is an Assistant Stage Manager for the Pittsburgh Symphony Orchestra."
"What is the role of Alison Peters Fujito in the Pittsburgh Symphony Orchestra?","Alison Peters Fujito is not mentioned in the provided documents related to the Pittsburgh Symphony Orchestra."
"Who is the snapp family first violin chair of the Pittsburgh Symphony Orchestra?","Marta Krechkovsky is the Snapp Family First Violin Chair of the Pittsburgh Symphony Orchestra."
"What is the role of Marta Krechkovsky in the Pittsburgh Symphony Orchestra?","Marta Krechkovsky is not mentioned in the provided documents. She is not a conductor, a member of the artistic team, or a resident artist of the Pittsburgh Symphony Orchestra."
"What is the role of Jennifer Orchard in the Pittsburgh Symphony Orchestra?","Jennifer Orchard is the Principal Harpist in the Pittsburgh Symphony Orchestra."
"Who is the dr. alan & marsha bramowitz chair of the Pittsburgh Symphony Orchestra?","Gretchen Van Hoesen is the dr. alan & marsha bramowitz chair of the Pittsburgh Symphony Orchestra."
"What is the role of Susanne Park in the Pittsburgh Symphony Orchestra?","Susanne Park is not mentioned in the provided documents. She is not listed as a resident artist, faculty member, or administrator of the Pittsburgh Symphony Orchestra. Therefore, there is no information available in the given documents to answer the question about her role in the Pittsburgh Symphony Orchestra."
"What is the role of Kristina Yoder in the Pittsburgh Symphony Orchestra?","Kristina Yoder is a stage manager for the Pittsburgh Symphony Orchestra."
"What is the role of Kate Black in the Pittsburgh Symphony Orchestra?","Kate Black is a violinist in the Pittsburgh Symphony Orchestra."
"Who are the First Violin 24-25 season musicians of the Pittsburgh Symphony Orchestra?","The first violin 24-25 season musicians of the Pittsburgh Symphony Orchestra are Juan C Jaramillo and Kate Massagli Black."
"What is the role of Shannon Fitzhenry in the Pittsburgh Symphony Orchestra?","Shannon Fitzhenry is not mentioned in the provided text."
"Who is the second violin principal | g. christian lantzsch & duquesne light company chair of the Pittsburgh Symphony Orchestra?","The second violin principal of the Pittsburgh Symphony Orchestra is not explicitly stated in the provided documents. However, the list of principals includes Jennifer Gerhard Mangone for the principal viola and Kathleen Melucci for the principal cello. Therefore, it is not mentioned that there is a second violin principal."
"What is the role of Jeremy Black in the Pittsburgh Symphony Orchestra?","Jeremy Black is not mentioned in the provided documents. He is not a current member of the Pittsburgh Symphony Orchestra as per the listed titles and names."
"Who is the second violin associate principal | the morrison family chair of the Pittsburgh Symphony Orchestra?","Justine Campagna is the second violin associate principal and the Morrison Family Chair of the Pittsburgh Symphony Orchestra."
"What is the role of Louis Lev in the Pittsburgh Symphony Orchestra?","Louis Lev is a conductor who has performed with jazz notables from the Count Basie Orchestra and the bands of Dizzy Gillespie, Dave Brubeck, Lionel Hampton, and more. He made his first concert as Principal Pops conductor with the Pittsburgh Symphony Orchestra in October 2020 during the COVID-19 pandemic. He continued to have multiple firsts with the symphony, performing his first in-person concert in summer of 2021 at Hartwood Acres and his first in-person Pops concert of the season at Heinz Hall in fall of"
"Who is the second violin assistant principal of the Pittsburgh Symphony Orchestra?","The second violin assistant principal of the Pittsburgh Symphony Orchestra is Adam Liu."
"What is the role of Dennis O'Boyle in the Pittsburgh Symphony Orchestra?","Dennis O'Boyle is the Assistant Lighting Designer for the Pittsburgh Symphony Orchestra."
"Who is the second violin william & sarah galbraith chair of the Pittsburgh Symphony Orchestra?","The second violin William & Sarah Galbraith chair of the Pittsburgh Symphony Orchestra is currently vacant."
"What is the role of Laura Motchalov in the Pittsburgh Symphony Orchestra?","Laura Motchalov is not mentioned in the provided text."
"What is the role of Andrew Fuller in the Pittsburgh Symphony Orchestra?","Andrew Fuller is a conductor who has worked with the Pittsburgh Symphony Orchestra. He has conducted various performances and collaborated with musicians such as Yo-Yo Ma and Lang Lang. He is also known for his work in the Music for the Spirit program, which aims to bring the spiritual message of music to communities. However, there is no specific mention of Andrew Fuller in the provided text."
"Who is the second violin arlyn gilboa chair of the Pittsburgh Symphony Orchestra?","Arlyn Gilboa is the second violin chair of the Pittsburgh Symphony Orchestra."
"What is the role of Lorien Benet Hart in the Pittsburgh Symphony Orchestra?","Lorien Benet Hart is not mentioned in the provided text. However, Lorin Maazel and Manfred Honeck are mentioned as former and current music directors of the Pittsburgh Symphony Orchestra, respectively."
"What is the role of Yeokyung Kim in the Pittsburgh Symphony Orchestra?","Yeokyung Kim is a conductor who has worked with the Pittsburgh Symphony Orchestra. She has conducted semistaged presentations of Bach's St John Passion in 2016 and Haydn's Creation in 2017. She also conducted a remarkable achievement with stage director Samuel Helfrich in 2011, which was a production of an opera that spanned three periods of American history. Additionally, she has worked with notable soloists such as YoYo Ma, Itzhak Perlman, Lang Lang, and Joshua Bell during Honeck's"
"What is the role of Boxianzi Vivian Ling in the Pittsburgh Symphony Orchestra?","Boxianzi Vivian Ling is a guest keyboard chair in the Pittsburgh Symphony Orchestra."
"Who is the second violin alice victoria gelormino chair of the Pittsburgh Symphony Orchestra?","There is no second violin Alice Victoria Gelormino chair mentioned in the provided documents."
"What is the role of Claudia Mahave in the Pittsburgh Symphony Orchestra?","Claudia Rosenthal is a Resident Artist with the Pittsburgh Opera. She has appeared in productions such as The Dutchman, Tosca, and Alcina. In 2023, she worked with Pittsburgh Opera's Head of Music Glenn Lewis in the WQEDFM studio. WQEDFM is a radio station that broadcasts Pittsburgh Opera's past and upcoming seasons. The station aired daily opera moments from September 16 to October 4, 2023. These moments took listeners to various locales and featured excerpts from Pittsburgh Opera productions."
"What is the role of Cecee Pantikian in the Pittsburgh Symphony Orchestra?","Cecee Pantikian is a violinist in the Pittsburgh Symphony Orchestra."
"What is the role of Regi Papa in the Pittsburgh Symphony Orchestra?","Regi Papa is a stage director and choreographer who has worked with the Pittsburgh Symphony Orchestra on productions such as Bach's St John Passion in 2016 and Haydn's Creation in 2017. He also collaborated with the orchestra on a semistaged presentation of these works in 2011. Papa has a long history of working with the Pittsburgh Opera, where he has been a resident artist and administrator. He has also worked with notable artists such as Renate Scotto, Beverly Sills, and Regina Resnik, among others."
"What is the role of Carolyn Semes in the Pittsburgh Symphony Orchestra?","Carolyn Semes is a stage director who has worked with the Pittsburgh Symphony Orchestra on productions such as Bach's St John Passion in 2016 and Haydn's Creation in 2017. She also collaborated with the Orchestra in 2011 for a remarkable achievement, a semistaged presentation of both works."
"What is the role of Yingchen Zhang in the Pittsburgh Symphony Orchestra?","I'm unable to find specific information about Yingchen Zhang's role in the Pittsburgh Symphony Orchestra from the provided documents."
